#OTU ID,H2,H15,H7,H5,H16,H3,H4
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,5.49E-05,7.32E-05,0,4.53E-05,0.000168135,0.00E+00,3.94E-04
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__,0.000925793,4.30E-03,0.003531483,1.58E-03,3.95E-03,3.05E-03,0.003835006
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Patulibacteraceae;g__,0.000157728,0.004379455,0.005923778,0.00468119,0.002245102,0.00811338,0.002504091
k__Bacteria;p__Acidobacteria;c__iii1-8;o__32-20;f__;g__,0.00331228,0.001473755,0.00218517,0.000679089,0.004539655,0.000906282,0.006871463
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__;g__,4.94E-04,0.004828898,0.001719138,1.57E-03,3.33E-03,0.004617722,0.002336495
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae];g__,0.001282394,0.003741873,0.001843413,0.001774687,0.004816584,0.004177528,0.00294773
k__Bacteria;p__Gemmatimonadetes;c__Gemm-3;o__;f__;g__,0.000109724,0.000585321,1.78E-03,1.60E-03,2.97E-05,1.07E-03,4.93E-05
k__Bacteria;p__Gemmatimonadetes;c__;o__;f__;g__,0,0.00E+00,0,0,0,0.00E+00,0.00E+00
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__;f__;g__,3.50E-03,0.001149738,3.49E-03,0.008230564,1.71E-03,1.92E-03,5.42E-04
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__,0.005733056,0.000167235,0.00091135,0.009217508,0.000573638,0.001691726,0.001025297
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera,2.74E-05,0.007567364,0.004629246,0.003286793,0.002986876,0.001864351,0.001646391
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__MIZ46;f__;g__,0.000480041,0.004609403,0.003334714,0.00268014,0.00123629,0.002951889,1.43E-03
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus,2.81E-04,2.45E-03,2.03E-03,6.20E-03,0.001186838,8.98E-04,0.001380208
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__,0.001954451,0.00246671,0.003272577,0.003848174,0.001374754,0.004065321,0.002425222
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Sporichthyaceae;g__,0.000246878,0.001076573,0.002620133,0.003703301,0.001048374,0.002925996,0.001547804
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae];g__Ellin506,0.000726919,0.001923198,0.003303645,0.004074537,0.001434096,6.17E-03,0.001311197
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;g__Mesorhizobium,4.73E-04,3.14E-03,2.64E-03,2.25E-03,3.16E-03,3.01E-03,1.84E-03
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium,0.001062947,1.26E-03,3.61E-03,2.75E-03,1.20E-03,2.38E-03,2.12E-03
k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__0319-7L14;f__;g__,0.000404606,0.003794134,0.002858326,0.000597599,0.003491282,0.003271246,0.004998324
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Conexibacteraceae;g__,9.74E-04,0.001557372,0.002413007,0.009271835,0.000662651,0.003210827,0.00157738
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Ellin5301;g__,0.00015087,0.005780045,0.005074565,1.72E-03,3.46E-04,3.11E-03,0.000197173
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,0.000144012,0.000167235,0.000403894,0.000235418,0.000108793,5.27E-04,1.97E-05
